,ZONE_ID,EASTBOUND,dayofweek,BUS_TYPE,MIN_LATE,
Ê6:34,1,0,Tuesday,3,0:00:00,
Ê7:34,2,1,Tuesday,0,0:00:00,
Ê7:38,3,1,Tuesday,0,0:00:00,
Ê7:39,4,1,Tuesday,0,0:00:00,
Ê7:41,5,1,Tuesday,0,0:00:00,
Ê7:30,6,0,Tuesday,1,0:00:00,
Ê7:28,5,0,Tuesday,1,0:00:00,
Ê7:32,4,0,Tuesday,1,0:00:00,
Ê7:33,3,0,Tuesday,1,0:00:00,
Ê7:34,1,0,Tuesday,1,0:00:00,
Ê7:13,1,1,Tuesday,2,0:00:00,
Ê7:14,2,1,Tuesday,2,0:00:00,
Ê7:15,3,1,Tuesday,2,0:00:00,
Ê7:16,4,1,Tuesday,2,0:00:00,
Ê7:18,5,1,Tuesday,2,0:00:00,
Ê8:04,1,1,Tuesday,4,0:00:00,
Ê8:05,2,1,Tuesday,4,0:00:00,
Ê8:07,3,1,Tuesday,4,0:00:00,
Ê8:09,4,1,Tuesday,4,0:00:00,
Ê8:11,5,1,Tuesday,4,0:00:00,
Ê7:24,5,0,Tuesday,3,0:00:00,
Ê7:25,6,0,Tuesday,3,0:00:00,
Ê8:29,2,1,Tuesday,0,0:00:00,
Ê8:16,2,1,Tuesday,2,0:00:00,
Ê8:18,3,1,Tuesday,2,0:00:00,
Ê9:04,1,1,Tuesday,4,0:00:00,
Ê9:05,2,1,Tuesday,4,0:00:00,
Ê9:07,3,1,Tuesday,4,0:00:00,
Ê9:09,4,1,Tuesday,4,0:00:00,
Ê9:11,5,1,Tuesday,4,0:00:00,
Ê8:25,5,0,Tuesday,3,0:00:00,
Ê8:27,6,0,Tuesday,3,0:00:00,
Ê8:30,1,0,Tuesday,3,0:00:00,
Ê9:31,2,1,Tuesday,0,0:00:00,
Ê9:32,3,1,Tuesday,0,0:00:00,
Ê9:16,1,1,Tuesday,2,0:00:00,
Ê9:16,2,1,Tuesday,2,0:00:00,
Ê9:18,3,1,Tuesday,2,0:00:00,
Ê9:25,5,0,Tuesday,3,0:00:00,
Ê9:28,6,0,Tuesday,3,0:00:00,
Ê9:29,4,0,Tuesday,3,0:00:00,
Ê9:31,3,0,Tuesday,3,0:00:00,
Ê9:33,1,0,Tuesday,3,0:00:00,
10:24,4,1,Tuesday,2,0:00:00,
10:28,5,1,Tuesday,2,0:00:00,
10:26,5,0,Tuesday,3,0:00:00,
10:28,6,0,Tuesday,3,0:00:00,
10:30,1,0,Tuesday,3,0:00:00,
Ê1:24,5,0,Tuesday,3,0:00:00,
Ê1:25,6,0,Tuesday,3,0:00:00,
Ê1:29,3,0,Tuesday,3,0:00:00,
Ê1:32,1,0,Tuesday,3,0:00:00,
Ê1:33,6,0,Tuesday,1,0:00:00,
Ê1:31,5,0,Tuesday,1,0:00:00,
Ê1:20,1,1,Tuesday,2,0:00:00,
Ê1:21,2,1,Tuesday,2,0:00:00,
Ê1:22,3,1,Tuesday,2,0:00:00,
Ê1:24,4,1,Tuesday,2,0:00:00,
Ê1:27,5,1,Tuesday,2,0:00:00,
Ê2:07,1,1,Tuesday,4,0:00:00,
Ê2:09,2,1,Tuesday,4,0:00:00,
Ê1:15,4,1,Tuesday,4,0:00:00,
Ê1:18,5,1,Tuesday,4,0:00:00,
Ê1:25,5,0,Tuesday,3,0:00:00,
Ê1:28,6,0,Tuesday,3,0:00:00,
Ê1:30,4,0,Tuesday,3,0:00:00,
Ê1:31,3,0,Tuesday,3,0:00:00,
Ê1:34,1,0,Tuesday,3,0:00:00,
Ê2:32,2,1,Tuesday,0,0:00:00,
Ê2:34,3,1,Tuesday,0,0:00:00,
Ê2:36,4,1,Tuesday,0,0:00:00,
Ê2:39,5,1,Tuesday,0,0:00:00,
Ê2:05,6,0,Tuesday,1,0:00:00,
Ê2:33,5,0,Tuesday,1,0:00:00,
Ê2:06,4,0,Tuesday,1,0:00:00,
Ê2:09,3,0,Tuesday,1,0:00:00,
Ê2:11,1,0,Tuesday,1,0:00:00,
Ê2:21,1,1,Tuesday,2,0:00:00,
Ê2:22,2,1,Tuesday,2,0:00:00,
Ê2:25,3,1,Tuesday,2,0:00:00,
Ê2:25,4,1,Tuesday,2,0:00:00,
Ê2:28,5,1,Tuesday,2,0:00:00,
Ê2:16,5,1,Tuesday,4,0:00:00,
Ê2:23,5,0,Tuesday,3,0:00:00,
Ê2:25,6,0,Tuesday,3,0:00:00,
Ê3:33,2,1,Tuesday,0,0:00:00,
Ê3:34,3,1,Tuesday,0,0:00:00,
Ê3:35,4,1,Tuesday,0,0:00:00,
Ê3:07,6,0,Tuesday,1,0:00:00,
Ê3:05,5,0,Tuesday,1,0:00:00,
Ê3:08,4,0,Tuesday,1,0:00:00,
Ê3:10,3,0,Tuesday,1,0:00:00,
Ê3:12,1,0,Tuesday,1,0:00:00,
Ê3:20,1,1,Tuesday,2,0:00:00,
Ê3:22,2,1,Tuesday,2,0:00:00,
Ê3:24,3,1,Tuesday,2,0:00:00,
Ê3:26,4,1,Tuesday,2,0:00:00,
Ê3:29,5,1,Tuesday,2,0:00:00,
Ê3:09,2,1,Tuesday,4,0:00:00,
Ê3:11,3,1,Tuesday,4,0:00:00,
Ê4:15,4,1,Tuesday,4,0:00:00,
Ê4:20,5,1,Tuesday,4,0:00:00,
Ê3:55,5,0,Tuesday,3,0:00:00,
Ê3:58,6,0,Tuesday,3,0:00:00,
Ê3:37,3,0,Tuesday,3,0:00:00,
Ê3:38,1,0,Tuesday,3,0:00:00,
Ê4:32,2,1,Tuesday,0,0:00:00,
Ê4:34,3,1,Tuesday,0,0:00:00,
Ê4:35,4,1,Tuesday,0,0:00:00,
Ê4:40,5,1,Tuesday,0,0:00:00,
Ê4:16,6,0,Tuesday,1,0:00:00,
Ê4:09,5,0,Tuesday,1,0:00:00,
Ê4:17,4,0,Tuesday,1,0:00:00,
Ê4:19,3,0,Tuesday,1,0:00:00,
Ê4:21,1,0,Tuesday,1,0:00:00,
Ê4:24,2,1,Tuesday,2,0:00:00,
Ê4:26,3,1,Tuesday,2,0:00:00,
Ê4:27,4,1,Tuesday,2,0:00:00,
Ê4:30,5,1,Tuesday,2,0:00:00,
Ê5:05,1,1,Tuesday,4,0:00:00,
Ê5:06,2,1,Tuesday,4,0:00:00,
Ê5:09,3,1,Tuesday,4,0:00:00,
Ê5:11,4,1,Tuesday,4,0:00:00,
Ê4:14,5,1,Tuesday,4,0:00:00,
Ê4:30,3,0,Tuesday,3,0:00:00,
