arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
 2:35 PM, 3:35 PM, 4:35 PM,1616,2022-04-19 21:01:32.795,10
 2:36 P, 3:36 PM, 4:36 PM,1615,2022-04-19 21:01:36.753,10
 2:03 PM, 2:32 P, 3:02 PM,2672,2022-04-19 21:02:31.022,15
 2:31 P, 3:01 PM, 3:30 PM,2671,2022-04-19 21:02:33.162,15
 2:08 PM, 2:38 PM, 3:08 PM,2676,2022-04-19 21:03:06.901,15
 2:22 PM, 2:49 PM, 3:49 PM,1616,2022-04-19 21:03:34.543,18
 2:04 PM, 2:34 PM, 3:04 PM,2674,2022-04-19 21:03:35.142,15
 2:06 PM, 2:36 P, 3:06 PM,2675,2022-04-19 21:03:55.851,15
 2:21 PM, 2:47 PM, 3:47 PM,2102,2022-04-19 21:03:56.783,18
 2:21 PM, 2:48 PM, 3:48 PM,1617,2022-04-19 21:04:22.596,18
 3:13 PM, 4:13 PM, 5:13 PM,1617,2022-04-19 21:04:29.183,20
 2:24 PM, 2:51 PM, 3:51 PM,1615,2022-04-19 21:04:41.612,18
 3:18 PM, 4:18 PM, 5:18 PM,1615,2022-04-19 21:04:44.563,20
 2:28 PM, 2:55 PM, 3:55 PM,2448,2022-04-19 21:05:04.961,18
 3:11 PM, 4:11 PM, 5:11 PM,2102,2022-04-19 21:05:05.802,20
 2:26 PM, 2:56 PM, 3:26 PM,2675,2022-04-19 21:05:19.634,19
 2:24 PM, 2:54 PM, 3:24 PM,2674,2022-04-19 21:05:19.446,19
 2:23 PM, 2:53 PM, 3:23 PM,2672,2022-04-19 21:05:17.142,19
 3:16 PM, 4:16 PM, 5:16 PM,1616,2022-04-19 21:05:19.793,20
 3:23 PM, 4:23 PM, 5:23 PM,2448,2022-04-19 21:05:39.727,20
 2:22 PM, 2:52 PM, 3:22 PM,2671,2022-04-19 21:06:05.824,19
 2:28 PM, 2:58 PM, 3:28 PM,2676,2022-04-19 21:06:22.647,19
 3:07 PM, 3:33 PM, 6:04 PM,2672,2022-04-19 22:00:47.720,15
 3:29 PM, 4:29 P, 5:29 PM,1617,2022-04-19 22:01:30.462,10
 3:31 PM, 4:31 P, 5:31 P,1616,2022-04-19 22:01:32.392,10
 3:35 PM, 4:35 PM, 5:35 PM,2448,2022-04-19 22:01:36.267,10
 3:32 PM, 4:32 PM, 5:32 PM,1615,2022-04-19 22:01:36.641,10
 3:10 PM, 3:36 PM, 6:06 PM,2674,2022-04-19 22:01:41.724,15
 3:06 PM, 3:30 PM, 6:03 PM,2671,2022-04-19 22:01:41.802,15
